带序号键盘监听器已启动（按ESC退出）
==================================================
事件编号规则：
- 每个独立事件（按下/释放）都有唯一递增编号
- 编号从1开始连续计数

109. [按下] 按键: j        | 距上次按下间隔: 0.224s
110. [释放] 按键: j        | 持续时长: 0.146s
111. [按下] 按键: j        | 距上次按下间隔: 0.391s
112. [释放] 按键: j        | 持续时长: 0.107s
113. [按下] 按键: j        | 距上次按下间隔: 0.367s
114. [释放] 按键: j        | 持续时长: 0.324s
115. [按下] 按键: j        | 距上次按下间隔: 0.440s
116. [释放] 按键: j        | 持续时长: 0.113s
117. [按下] 按键: j        | 距上次按下间隔: 0.347s
118. [释放] 按键: j        | 持续时长: 0.120s
119. [按下] 按键: j        | 距上次按下间隔: 0.209s
120. [释放] 按键: j        | 持续时长: 0.120s
121. [按下] 按键: e        | 距上次按下间隔: 2.929s
122. [按下] 按键: e        | 距上次按下间隔: 0.506s
123. [按下] 按键: e        | 距上次按下间隔: 0.032s
124. [按下] 按键: e        | 距上次按下间隔: 0.032s
125. [按下] 按键: e        | 距上次按下间隔: 0.033s
126. [按下] 按键: e        | 距上次按下间隔: 0.032s
127. [按下] 按键: e        | 距上次按下间隔: 0.032s
128. [按下] 按键: e        | 距上次按下间隔: 0.033s
129. [按下] 按键: e        | 距上次按下间隔: 0.032s
130. [按下] 按键: e        | 距上次按下间隔: 0.033s
131. [按下] 按键: e        | 距上次按下间隔: 0.032s
132. [按下] 按键: e        | 距上次按下间隔: 0.032s
133. [按下] 按键: e        | 距上次按下间隔: 0.032s
134. [按下] 按键: e        | 距上次按下间隔: 0.033s
135. [按下] 按键: e        | 距上次按下间隔: 0.032s
136. [按下] 按键: e        | 距上次按下间隔: 0.033s
137. [释放] 按键: e        | 持续时长: 0.039s
138. [按下] 按键: j        | 距上次按下间隔: 0.284s
139. [按下] 按键: j        | 距上次按下间隔: 0.506s
140. [按下] 按键: j        | 距上次按下间隔: 0.033s
141. [按下] 按键: j        | 距上次按下间隔: 0.032s
142. [按下] 按键: j        | 距上次按下间隔: 0.032s
143. [按下] 按键: j        | 距上次按下间隔: 0.032s
144. [按下] 按键: j        | 距上次按下间隔: 0.033s
145. [按下] 按键: j        | 距上次按下间隔: 0.032s
146. [按下] 按键: j        | 距上次按下间隔: 0.033s
147. [按下] 按键: j        | 距上次按下间隔: 0.032s
148. [按下] 按键: j        | 距上次按下间隔: 0.032s
149. [按下] 按键: j        | 距上次按下间隔: 0.033s
150. [按下] 按键: j        | 距上次按下间隔: 0.032s
151. [按下] 按键: j        | 距上次按下间隔: 0.033s
152. [按下] 按键: j        | 距上次按下间隔: 0.032s
153. [按下] 按键: j        | 距上次按下间隔: 0.032s
154. [按下] 按键: j        | 距上次按下间隔: 0.033s
155. [按下] 按键: j        | 距上次按下间隔: 0.032s
156. [按下] 按键: j        | 距上次按下间隔: 0.032s
157. [按下] 按键: j        | 距上次按下间隔: 0.033s
158. [按下] 按键: j        | 距上次按下间隔: 0.032s
159. [按下] 按键: j        | 距上次按下间隔: 0.032s
160. [按下] 按键: j        | 距上次按下间隔: 0.032s
161. [按下] 按键: j        | 距上次按下间隔: 0.032s
162. [按下] 按键: j        | 距上次按下间隔: 0.033s
163. [按下] 按键: j        | 距上次按下间隔: 0.033s
164. [按下] 按键: j        | 距上次按下间隔: 0.032s
165. [按下] 按键: j        | 距上次按下间隔: 0.032s
166. [按下] 按键: j        | 距上次按下间隔: 0.033s
167. [按下] 按键: j        | 距上次按下间隔: 0.032s
168. [释放] 按键: j        | 持续时长: 0.055s
169. [按下] 按键: cmd      | 距上次按下间隔: 17.525s
170. [释放] 按键: cmd      | 持续时长: 0.155s
